epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.357,1.04657,3.31766,1.27944,0.67574,0.11896,0.10623,0.08132,1.07781,2.89487,1.27089,0.000123278,0.000123278,0.000123278
2,1019.31,0.98219,2.6744,1.23498,0.59365,0.16962,0.13789,0.10335,1.03866,2.57274,1.26377,0.000241729,0.000241729,0.000241729
3,1578.15,0.96855,2.42922,1.229,0.48774,0.23498,0.17045,0.12995,1.07213,2.55553,1.25806,0.000355295,0.000355295,0.000355295
